epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,374.936,1.15006,1.3854,1.29769,0.8762,0.89307,0.94709,0.74815,0.8766,0.79425,1.07501,0.00333167,0.00333167,0.00333167
2,715.746,1.03898,0.94761,1.20911,0.86868,0.91407,0.93877,0.74713,0.88378,0.74592,1.08372,0.00653304,0.00653304,0.00653304
3,1042.25,1.07769,0.91382,1.23661,0.8539,0.91273,0.93922,0.74114,0.92005,0.73131,1.11792,0.00960241,0.00960241,0.00960241
4,1348.2,1.07301,0.88048,1.24513,0.91415,0.88268,0.96145,0.78041,0.84633,0.61579,1.07643,0.009406,0.009406,0.009406
5,1665.05,1.00279,0.78873,1.20369,0.8855,0.92553,0.96634,0.78891,0.82289,0.56425,1.05548,0.009208,0.009208,0.009208
6,1983.69,0.95514,0.7401,1.18268,0.90975,0.92363,0.97054,0.8158,0.77318,0.51754,1.02845,0.00901,0.00901,0.00901
7,2299.56,0.92387,0.70234,1.15979,0.89571,0.94938,0.9732,0.82275,0.73068,0.48593,0.99669,0.008812,0.008812,0.008812
8,2635.65,0.89198,0.67139,1.14235,0.91365,0.93825,0.97602,0.82782,0.7054,0.47228,0.97928,0.008614,0.008614,0.008614
9,2966.39,0.87519,0.65316,1.13177,0.90534,0.95468,0.97712,0.85044,0.68259,0.44966,0.97101,0.008416,0.008416,0.008416
10,3274.36,0.85435,0.63056,1.11915,0.9357,0.93364,0.98036,0.85374,0.67404,0.43422,0.96393,0.008218,0.008218,0.008218
11,3588.04,0.84067,0.61393,1.11187,0.91977,0.9604,0.98098,0.85895,0.65281,0.41343,0.95042,0.00802,0.00802,0.00802
12,3885.23,0.82961,0.60292,1.10758,0.9326,0.94644,0.98153,0.8629,0.64604,0.40307,0.946,0.007822,0.007822,0.007822
13,4183.1,0.81265,0.5852,1.09686,0.94892,0.94391,0.98426,0.87142,0.63866,0.39728,0.94222,0.007624,0.007624,0.007624
14,4482.18,0.80619,0.57525,1.09137,0.94785,0.94997,0.98504,0.87548,0.62945,0.38146,0.93611,0.007426,0.007426,0.007426
15,4778.32,0.79301,0.5641,1.08592,0.93453,0.96064,0.98521,0.88039,0.61978,0.3829,0.93585,0.007228,0.007228,0.007228
16,5077.61,0.78322,0.55716,1.08099,0.94544,0.95523,0.98588,0.88138,0.61938,0.36793,0.93088,0.00703,0.00703,0.00703
17,5377.19,0.77036,0.54204,1.07346,0.95655,0.94879,0.98747,0.8859,0.60601,0.3608,0.91807,0.006832,0.006832,0.006832
18,5672.94,0.76368,0.53583,1.07049,0.95093,0.95809,0.98759,0.88799,0.60034,0.35373,0.91774,0.006634,0.006634,0.006634
19,5971.1,0.75595,0.52503,1.06544,0.95295,0.95763,0.98759,0.89183,0.59235,0.3464,0.91079,0.006436,0.006436,0.006436
20,6269.01,0.74802,0.51875,1.06408,0.95486,0.95723,0.98795,0.89529,0.58739,0.34206,0.90991,0.006238,0.006238,0.006238
21,6562.99,0.74216,0.5119,1.05779,0.95552,0.95605,0.98819,0.89554,0.58291,0.33915,0.90702,0.00604,0.00604,0.00604
22,6857.97,0.73525,0.50443,1.05396,0.95193,0.95762,0.98826,0.89473,0.58367,0.33709,0.909,0.005842,0.005842,0.005842
23,7157.79,0.72804,0.49667,1.05204,0.95191,0.95919,0.98834,0.89795,0.57571,0.33268,0.90317,0.005644,0.005644,0.005644
24,7453.84,0.72127,0.49113,1.04568,0.95808,0.95841,0.98915,0.89936,0.57325,0.32819,0.89922,0.005446,0.005446,0.005446
25,7747.17,0.71261,0.48143,1.04305,0.95819,0.95779,0.98921,0.90099,0.56956,0.32631,0.89796,0.005248,0.005248,0.005248
26,8030.35,0.70634,0.47836,1.04103,0.95942,0.96009,0.98913,0.9036,0.5659,0.32458,0.89618,0.00505,0.00505,0.00505
27,8327.74,0.70144,0.47403,1.03595,0.95929,0.96135,0.98918,0.90361,0.56169,0.32241,0.89395,0.004852,0.004852,0.004852
28,8623.26,0.69285,0.46988,1.03407,0.9603,0.96135,0.98912,0.90413,0.55942,0.32026,0.89286,0.004654,0.004654,0.004654
29,8915.5,0.69047,0.46411,1.0331,0.96039,0.96102,0.98908,0.90431,0.55805,0.31808,0.89214,0.004456,0.004456,0.004456
30,9208.66,0.68449,0.46162,1.03123,0.96054,0.95988,0.98913,0.90541,0.55696,0.31602,0.89126,0.004258,0.004258,0.004258
31,9505.3,0.67482,0.45524,1.02871,0.96143,0.95866,0.98925,0.9061,0.55431,0.31399,0.88998,0.00406,0.00406,0.00406
32,9799.99,0.67104,0.44712,1.02324,0.95838,0.96057,0.98922,0.90849,0.55235,0.31318,0.88857,0.003862,0.003862,0.003862
33,10092.7,0.66418,0.44209,1.02155,0.95845,0.96096,0.98925,0.90861,0.55158,0.31201,0.88796,0.003664,0.003664,0.003664
34,10384.9,0.65973,0.44038,1.0183,0.95382,0.96435,0.98931,0.90829,0.55006,0.31165,0.88684,0.003466,0.003466,0.003466
35,10677.3,0.64994,0.43301,1.01545,0.95669,0.962,0.98936,0.9086,0.54867,0.3105,0.88579,0.003268,0.003268,0.003268
36,10972.2,0.64405,0.4267,1.01197,0.95718,0.96478,0.98953,0.90912,0.54769,0.30927,0.88507,0.00307,0.00307,0.00307
37,11269.9,0.63824,0.42081,1.00805,0.96193,0.96174,0.98962,0.90889,0.54675,0.30836,0.88449,0.002872,0.002872,0.002872
38,11561.9,0.63351,0.4173,1.00703,0.95981,0.96518,0.98968,0.90963,0.54541,0.30787,0.88386,0.002674,0.002674,0.002674
39,11854.6,0.62673,0.41381,1.00362,0.96095,0.96562,0.98973,0.91038,0.54392,0.30697,0.88293,0.002476,0.002476,0.002476
40,12146.5,0.6223,0.40882,1.00215,0.96197,0.96508,0.98969,0.91088,0.5426,0.30639,0.88231,0.002278,0.002278,0.002278
41,12446.4,0.52773,0.29831,0.94434,0.96375,0.96351,0.98974,0.91213,0.54086,0.30513,0.88118,0.00208,0.00208,0.00208
42,12741.7,0.50971,0.28754,0.9367,0.96131,0.96704,0.98985,0.91334,0.53885,0.30359,0.88006,0.001882,0.001882,0.001882
43,13028.2,0.49924,0.27932,0.93121,0.96132,0.96743,0.98989,0.91398,0.53685,0.30187,0.87895,0.001684,0.001684,0.001684
44,13315.1,0.48642,0.27376,0.92432,0.96135,0.96743,0.9899,0.91443,0.53497,0.29995,0.8778,0.001486,0.001486,0.001486
45,13602,0.47865,0.26614,0.92188,0.96197,0.96704,0.98998,0.91537,0.53283,0.29888,0.8765,0.001288,0.001288,0.001288
46,13888.2,0.4687,0.25926,0.91825,0.96207,0.96665,0.99003,0.91599,0.53101,0.29769,0.87549,0.00109,0.00109,0.00109
47,14176.4,0.46192,0.25465,0.9144,0.96272,0.96586,0.99011,0.91721,0.52892,0.29672,0.87426,0.000892,0.000892,0.000892
48,14470.8,0.45251,0.24828,0.91007,0.96395,0.96514,0.99022,0.91785,0.52679,0.2958,0.87342,0.000694,0.000694,0.000694
49,14757,0.44645,0.24399,0.90659,0.96434,0.96551,0.99025,0.91868,0.52471,0.29463,0.87235,0.000496,0.000496,0.000496
50,15045,0.43982,0.23997,0.90586,0.96491,0.96561,0.99037,0.92002,0.5228,0.29288,0.87116,0.000298,0.000298,0.000298
